League;Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;xG;xGA;xGD;xGD/90;Possession;Shots_on_Target;Corners;Interceptions;Tackles;Saves;Clean_Sheets
Premier League;1;Liverpool;35;25;7;3;81;35;46;82;2.34;75.4;32.0;43.4;1.24;58.0;202;138;275;598;81;14
Premier League;2;Arsenal;35;18;13;4;64;31;33;67;1.91;54.4;29.9;24.5;0.7;57.0;161;200;212;543;77;12
Premier League;3;Manchester City;35;19;7;9;67;43;24;64;1.83;61.9;45.2;16.6;0.48;61.4;195;110;206;463;82;11
Premier League;4;Newcastle Utd;35;19;6;10;66;45;21;63;1.8;59.5;43.1;16.4;0.47;51.2;146;111;255;562;104;12
Premier League;5;Chelsea;35;18;9;8;62;41;21;63;1.8;65.2;44.3;21.0;0.6;57.7;195;120;258;540;104;9
Premier League;6;Nott'ham Forest;35;18;7;10;54;42;12;61;1.74;41.1;45.7;-4.6;-0.13;40.5;151;65;298;634;110;13
Premier League;7;Aston Villa;35;17;9;9;55;49;6;60;1.71;53.3;45.9;7.4;0.21;51.0;148;144;226;599;91;7
Premier League;8;Bournemouth;35;14;11;10;55;42;13;53;1.51;60.5;45.7;14.8;0.42;47.7;179;156;335;650;122;8
Premier League;9;Brentford;35;15;7;13;62;53;9;52;1.49;53.7;52.5;1.2;0.03;47.6;157;125;269;586;140;7
Premier League;10;Brighton;35;13;13;9;57;56;1;52;1.49;52.7;49.4;3.3;0.1;52.3;163;99;290;635;83;7
Premier League;11;Fulham;35;14;9;12;50;47;3;51;1.46;46.0;40.6;5.4;0.15;52.2;151;84;282;627;97;5
Premier League;12;Crystal Palace;35;11;13;11;44;48;-4;46;1.31;53.6;44.9;8.8;0.25;43.2;151;108;302;710;97;10
Premier League;13;Wolves;35;12;5;18;51;62;-11;41;1.17;40.4;53.5;-13.1;-0.37;47.3;143;83;282;741;88;8
Premier League;14;Everton;35;8;15;12;36;43;-7;39;1.11;36.9;43.1;-6.2;-0.18;40.9;122;92;306;684;104;10
Premier League;15;Manchester Utd;35;10;9;16;42;51;-9;39;1.11;47.2;50.9;-3.7;-0.11;53.2;153;94;344;753;91;9
Premier League;16;Tottenham;35;11;5;19;63;57;6;38;1.09;55.6;56.4;-0.8;-0.02;56.1;174;106;291;618;103;6
Premier League;17;West Ham;35;9;10;16;40;59;-19;37;1.06;43.1;54.9;-11.8;-0.34;47.9;122;75;307;590;116;6
Premier League;18;Ipswich Town;35;4;10;21;35;76;-41;22;0.63;31.3;69.4;-38.1;-1.09;40.0;110;101;290;553;122;2
Premier League;19;Leicester City;35;5;6;24;29;76;-47;21;0.6;30.5;67.6;-37.1;-1.06;45.5;96;81;306;674;122;2
Premier League;20;Southampton;35;2;5;28;25;82;-57;11;0.31;30.7;78.1;-47.3;-1.35;49.4;102;93;280;603;146;2
Serie A;1;Napoli;35;23;8;4;55;25;30;77;2.2;48.5;28.5;20.0;0.57;53.7;132;122;255;506;63;17
Serie A;2;Inter;35;22;8;5;73;33;40;74;2.11;61.9;31.6;30.3;0.86;59.9;164;56;211;466;86;14
Serie A;3;Atalanta;35;20;8;7;71;31;40;68;1.94;59.4;34.1;25.3;0.72;55.6;168;78;270;534;100;15
Serie A;4;Juventus;35;16;15;4;52;32;20;63;1.8;46.6;31.2;15.4;0.44;57.5;162;84;184;560;74;16
Serie A;5;Roma;35;18;9;8;50;32;18;63;1.8;49.2;36.6;12.6;0.36;54.2;149;68;261;516;110;15
Serie A;6;Lazio;35;18;9;8;58;45;13;63;1.8;51.6;35.4;16.2;0.46;54.9;169;117;271;488;68;9
Serie A;7;Bologna;35;16;14;5;53;38;15;62;1.77;45.5;32.4;13.1;0.37;58.2;154;50;238;551;56;12
Serie A;8;Fiorentina;35;17;8;10;53;35;18;59;1.69;43.3;37.0;6.3;0.18;49.9;145;57;249;495;102;12
Serie A;9;Milan;35;16;9;10;55;39;16;57;1.63;59.2;39.3;19.9;0.57;54.2;171;128;216;509;93;12
Serie A;10;Como;35;12;9;14;45;48;-3;45;1.29;41.5;39.3;2.2;0.06;54.4;162;39;251;625;83;7
Serie A;11;Torino;35;10;14;11;39;40;-1;44;1.26;32.1;45.2;-13.1;-0.37;47.5;112;85;264;438;122;10
Serie A;12;Udinese;35;12;8;15;38;49;-11;44;1.26;34.8;46.7;-11.9;-0.34;47.5;127;54;285;526;100;9
Serie A;13;Genoa;35;9;12;14;30;43;-13;39;1.11;34.5;42.8;-8.3;-0.24;45.7;107;55;282;637;95;11
Serie A;14;Cagliari;35;8;9;18;36;51;-15;33;0.94;40.1;50.4;-10.2;-0.29;45.5;106;36;250;500;90;6
Serie A;15;Hellas Verona;35;9;5;21;30;63;-33;32;0.91;31.3;50.6;-19.4;-0.55;38.7;88;65;306;617;96;8
Serie A;16;Parma;35;6;14;15;40;54;-14;32;0.91;39.9;54.2;-14.3;-0.41;44.2;125;52;262;477;96;6
Serie A;17;Lecce;35;6;9;20;24;57;-33;27;0.77;32.3;54.4;-22.1;-0.63;44.1;109;60;267;606;113;7
Serie A;18;Venezia;35;4;14;17;28;49;-21;26;0.74;32.5;52.9;-20.4;-0.58;45.1;110;56;258;559;126;6
Serie A;19;Empoli;35;4;13;18;27;55;-28;25;0.71;29.7;47.9;-18.1;-0.52;41.1;94;61;305;653;96;6
Serie A;20;Monza;35;2;9;24;25;63;-38;15;0.43;26.9;50.4;-23.5;-0.67;48.3;91;37;284;527;105;3
La Liga;1;Barcelona;34;25;4;5;91;33;58;79;2.32;81.8;34.8;46.9;1.38;68.1;215;91;196;480;65;11
La Liga;2;Real Madrid;34;23;6;5;69;33;36;75;2.21;65.4;36.7;28.7;0.84;60.6;200;84;299;518;81;13
La Liga;3;Atlético Madrid;34;19;10;5;56;27;29;67;1.97;54.4;31.3;23.1;0.68;52.1;140;56;230;561;79;15
La Liga;4;Athletic Club;34;16;13;5;50;26;24;61;1.79;48.2;33.1;15.2;0.45;48.4;138;70;308;529;78;12
La Liga;5;Villarreal;34;16;10;8;60;47;13;58;1.71;58.4;40.2;18.1;0.53;48.4;149;72;252;599;93;5
La Liga;6;Betis;34;16;9;9;52;42;10;57;1.68;51.2;41.9;9.3;0.27;52.4;158;74;323;580;76;7
La Liga;7;Celta Vigo;34;13;7;14;52;52;0;46;1.35;48.3;37.7;10.6;0.31;53.6;148;47;262;498;77;7
La Liga;8;Rayo Vallecano;34;11;11;12;36;42;-6;44;1.29;39.7;44.1;-4.4;-0.13;51.7;141;90;296;572;97;8
La Liga;9;Osasuna;34;10;14;10;42;50;-8;44;1.29;38.6;49.2;-10.5;-0.31;46.3;107;58;237;564;117;7
La Liga;10;Mallorca;34;12;8;14;31;39;-8;44;1.29;36.2;38.6;-2.3;-0.07;46.3;98;55;302;531;96;8
La Liga;11;Real Sociedad;34;12;7;15;32;37;-5;43;1.26;37.3;36.6;0.7;0.02;54.5;110;61;250;596;82;13
La Liga;12;Valencia;34;10;12;12;40;51;-11;42;1.24;38.5;47.6;-9.1;-0.27;47.5;105;65;270;578;82;7
La Liga;13;Getafe;34;10;9;15;31;31;0;39;1.15;33.8;40.4;-6.6;-0.19;42.6;113;51;237;581;77;9
La Liga;14;Espanyol;34;10;9;15;36;44;-8;39;1.15;29.1;49.9;-20.8;-0.61;39.4;83;32;286;579;130;7
La Liga;15;Girona;34;10;8;16;41;52;-11;38;1.12;38.5;42.8;-4.2;-0.12;57.1;123;81;242;503;83;7
La Liga;16;Sevilla;34;9;11;14;37;46;-9;38;1.12;37.1;43.0;-5.9;-0.17;51.0;129;102;319;572;82;9
La Liga;17;Alavés;34;8;11;15;35;46;-11;35;1.03;37.3;41.7;-4.3;-0.13;45.4;111;56;277;650;75;7
La Liga;18;Las Palmas;34;8;8;18;40;56;-16;32;0.94;34.1;60.8;-26.7;-0.79;50.1;122;48;289;560;110;4
La Liga;19;Leganés;34;6;13;15;32;51;-19;31;0.91;29.8;55.7;-25.8;-0.76;41.9;89;42;304;569;109;9
La Liga;20;Valladolid;34;4;4;26;25;83;-58;16;0.47;29.9;61.8;-31.9;-0.94;42.5;83;65;286;539;103;5
Ligue 1;1;Paris S-G;32;24;6;2;85;33;52;78;2.44;84.0;30.0;54.0;1.69;68.1;257;59;249;587;65;7
Ligue 1;2;Marseille;32;18;5;9;67;44;23;59;1.84;57.3;43.1;14.2;0.44;63.7;172;74;264;520;84;5
Ligue 1;3;Monaco;32;17;7;8;61;37;24;58;1.81;71.2;32.7;38.5;1.2;55.1;171;84;338;640;82;10
Ligue 1;4;Nice;32;16;9;7;60;39;21;57;1.78;55.7;37.6;18.1;0.56;47.6;169;57;344;606;117;7
Ligue 1;5;Lille;32;16;9;7;50;33;17;57;1.78;50.8;41.2;9.6;0.3;56.9;148;44;253;600;88;11
Ligue 1;6;Strasbourg;32;16;9;7;53;39;14;57;1.78;46.7;52.9;-6.2;-0.19;49.5;133;58;264;509;124;10
Ligue 1;7;Lyon;32;16;6;10;63;44;19;54;1.69;56.0;44.1;11.9;0.37;56.6;166;73;273;541;114;9
Ligue 1;8;Lens;32;14;6;12;37;38;-1;48;1.5;49.3;43.7;5.6;0.18;54.1;141;84;301;575;93;12
Ligue 1;9;Brest;32;14;5;13;50;53;-3;47;1.47;43.3;50.6;-7.3;-0.23;48.3;146;67;295;615;78;9
Ligue 1;10;Auxerre;32;11;8;13;46;47;-1;41;1.28;40.0;54.8;-14.8;-0.46;42.2;139;46;329;626;117;10
Ligue 1;11;Rennes;32;12;2;18;47;46;1;38;1.19;45.6;41.0;4.6;0.14;51.3;148;84;324;567;76;10
Ligue 1;12;Toulouse;32;10;8;14;40;40;0;38;1.19;44.8;34.7;10.1;0.32;45.2;131;90;269;573;62;10
Ligue 1;13;Reims;32;8;9;15;32;43;-11;33;1.03;35.4;54.7;-19.2;-0.6;44.6;106;53;276;520;126;7
Ligue 1;14;Angers;32;9;6;17;30;50;-20;33;1.03;34.8;52.9;-18.1;-0.56;41.5;86;48;322;592;133;7
Ligue 1;15;Nantes;32;7;11;14;35;51;-16;32;1.0;36.0;54.4;-18.4;-0.57;40.3;113;63;260;605;97;5
Ligue 1;16;Le Havre;32;9;4;19;36;66;-30;31;0.97;38.0;58.7;-20.7;-0.65;42.8;91;86;308;592;100;4
Ligue 1;17;Saint-Étienne;31;6;6;19;33;74;-41;24;0.77;34.4;69.2;-34.9;-1.12;46.6;99;36;303;537;121;3
Ligue 1;18;Montpellier;31;4;4;23;22;70;-48;16;0.52;32.1;59.1;-27.0;-0.87;45.4;104;54;253;588;107;1
Bundesliga;1;Bayern Munich;32;23;7;2;93;32;61;76;2.38;77.8;23.5;54.3;1.7;68.1;241;123;223;480;40;14
Bundesliga;2;Leverkusen;32;19;11;2;68;37;31;68;2.13;53.5;32.0;21.5;0.67;59.3;168;108;223;371;90;9
Bundesliga;3;Eint Frankfurt;32;16;8;8;63;43;20;56;1.75;61.5;46.5;14.9;0.47;49.3;161;93;276;538;117;9
Bundesliga;4;Freiburg;32;15;7;10;46;49;-3;52;1.63;42.1;39.5;2.6;0.08;48.7;128;74;262;483;91;11
Bundesliga;5;Dortmund;32;15;6;11;64;49;15;51;1.59;57.6;39.8;17.7;0.55;59.1;147;100;232;493;79;6
Bundesliga;6;RB Leipzig;32;13;11;8;51;45;6;50;1.56;43.8;48.7;-5.0;-0.16;52.6;135;56;258;520;100;13
Bundesliga;7;Mainz 05;32;13;9;10;49;40;9;48;1.5;45.6;46.0;-0.4;-0.01;50.3;130;53;330;526;99;9
Bundesliga;8;Werder Bremen;32;13;8;11;50;56;-6;47;1.47;44.9;44.8;0.0;0.0;49.8;128;60;297;521;91;9
Bundesliga;9;Gladbach;32;13;6;13;55;54;1;45;1.41;48.0;59.2;-11.2;-0.35;49.7;144;61;290;475;123;7
Bundesliga;10;Stuttgart;32;12;8;12;57;51;6;44;1.38;55.9;45.3;10.6;0.33;57.0;154;64;274;452;80;6
Bundesliga;11;Augsburg;32;11;10;11;34;45;-11;43;1.34;32.5;44.2;-11.7;-0.37;44.2;110;59;328;443;99;11
Bundesliga;12;Wolfsburg;32;10;9;13;53;52;1;39;1.22;44.9;50.2;-5.3;-0.17;46.0;126;94;293;462;98;5
Bundesliga;13;Union Berlin;32;9;10;13;33;47;-14;37;1.16;35.8;45.0;-9.2;-0.29;39.7;116;66;299;497;82;8
Bundesliga;14;St. Pauli;32;8;7;17;26;37;-11;31;0.97;33.7;42.4;-8.6;-0.27;44.3;105;63;251;521;89;9
Bundesliga;15;Hoffenheim;32;7;10;15;44;62;-18;31;0.97;40.9;53.4;-12.5;-0.39;49.3;139;55;267;539;100;4
Bundesliga;16;Heidenheim;32;7;5;20;33;60;-27;26;0.81;37.6;55.0;-17.4;-0.54;43.0;112;68;301;586;104;8
Bundesliga;17;Holstein Kiel;32;6;7;19;48;75;-27;25;0.78;38.1;57.1;-19.1;-0.6;43.6;128;57;284;515;113;2
Bundesliga;18;Bochum;32;5;7;20;30;63;-33;22;0.69;39.6;60.9;-21.3;-0.67;45.6;121;101;279;560;78;4
